"","X","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","fishstock","recruitment_age","AssessmentYear","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDatabaseID","StockKey","FLim","Fpa","Bpa","Blim","FMSY","MSYBtrigger","Fmanagement","Bmanagement","RecruitmentAge","RecruitmentLength"
"31",31,1977,4694959,7436232,2964222,76339,103363,139952,46000,46000,NA,0.295,0.395,0.529,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"32",32,1978,4955457,8047442,3051474,98233,130483,173322,11000,11000,NA,0.209,0.287,0.394,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"33",33,1979,9369778,14587647,6018294,127317,163081,208891,25100,25100,NA,0.174,0.236,0.321,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"34",34,1980,14374984,20586992,10037413,146473,181861,225800,70764,70764,NA,0.167,0.21,0.262,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"35",35,1981,32736460,45771839,23413431,216767,269413,334845,174879,174879,NA,0.187,0.232,0.288,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"36",36,1982,51187197,70091045,37381796,305988,377377,465422,275079,275079,NA,0.169,0.209,0.258,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"37",37,1983,47726626,64655543,35230248,464242,570918,702105,387202,387202,NA,0.213,0.26,0.317,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"38",38,1984,43793677,59731256,32108585,750220,922645,1134699,428631,428631,NA,0.283,0.342,0.414,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"39",39,1985,52064818,72298909,37493585,811986,981660,1186788,613780,613780,NA,0.362,0.44,0.534,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"40",40,1986,59888796,83393690,43008864,835489,1000490,1198076,671488,671488,NA,0.352,0.424,0.512,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"41",41,1987,62645349,85745486,45768471,967667,1160081,1390754,792058,792058,NA,0.349,0.417,0.5,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"42",42,1988,31737198,43607321,23098180,1236114,1477704,1766511,887686,887686,NA,0.34,0.406,0.484,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"43",43,1989,26509136,36349013,19332968,1318825,1531870,1779331,787899,787899,NA,0.329,0.39,0.461,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"44",44,1990,21574012,30015390,15506645,1377309,1591202,1838311,645229,645229,NA,0.276,0.328,0.389,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
"45",45,1991,23394231,32111860,17043237,1203408,1386094,1596512,658008,658008,NA,0.303,0.358,0.423,"Stock published","Advice",NA,"her.27.3a47d",0,2017,"tonnes","SSB","tonnes",FALSE,"per year",8742,1572,169119,0.39,0.34,1000000,800000,0.33,1500000,NA,NA,0,NA
